YEAR, OCTOBER, NOVEMBER, DECEMBER,  JANUARY,  FEBRUARY,  MARCH, APRIL,  MAY, JUNE,JULY-SEPTEMBER,TOTAL
1987-88,0.14,1.964,14.65,21.766,30.746,98.231,20.15,7.181,3.172,,198.000
1988-89,1.517,3.354,21.76,66.847,14.942,11.887,5.405,2.585,0.703,,129.000
1989-90,0.44,0.85,1.672,1.778,18.137,8.538,2.847,0.879,0.029,,35.170
1990-91,0,0,0.46,1.653,3.52,4.919,1.374,0.205,0,,12.131
1991-92,0,0.963,46.105,24.109,37.607,17.225,8.981,5.564,2.171,,142.725
1992-93,0,3.711,34.561,18.787,19.931,31.509,9.675,6.343,2.116,,126.633
1993-94,0.008,1.625,1.73,9.121,21.816,11.7,4.119,2.468,0.387,,52.974
1994-95,0.623,43.548,13.498,19.932,11.447,6.983,3.842,1.936,0.923,,102.732
1995-96,0,0.377,0.935,8.748,8.821,9.367,3.073,1.005,0.071,,32.397
1996-97,0.577,0.186,3.569,1.655,5.739,3.924,7.986,0.838,0.4,,24.874
1997-98,0.045,1.227,4.608,4.735,2.946,7.445,3.74,1.007,0.7,,26.453
1998-99,0,0.833,11.381,8.93,24.456,7.467,7.33,0.808,1.226,0.202,62.633
1999-00,0,0.677,1.181,3.541,6.639,8.098,9.743,3.641,0.545,0.013,34.078
2000-01,0.133,3.236,8.968,16.418,17.617,8.428,3.898,1.646,0.124,0,60.468
2001-02,0.199,0.642,53.099,56.608,19.19,13.985,17.483,5.175,1.019,0.463,167.863
2002-03,0.181,0.794,10.061,10.706,43.999,42.352,18.374,5.894,3.07,0.712,136.143
2003-04,0.509,1.101,6.359,89.156,33.471,9.159,6.223,2.985,1.302,0.263,150.528
2004-05,0.149,2.558,4.445,10.053,18.186,8.117,4.306,1.04,1.289,0.205,50.348
2005-06,0.219,2.219,1.346,3.285,9.089,5.266,1.564,0.479,0.054,0.511,24.032
2006-07,2.566,3.605,0.952,2.147,14.157,7.373,3.059,3.943,0.308,0.698,38.808
2007-08,0.343,0.6,5.995,2.634,5.179,2.848,0.926,0.133,0.002,0.04,18.700
2008-09,0.227,0.635,3.151,13.248,28.622,27.17,14.547,6.889,1.627,1.295,97.411
2009-10,1.16,2.523,23.111,42.973,37.708,21.849,6.546,2.914,0.921,0.482,140.187
2010-11,0.065,0.128,5.09,7.627,12.834,21.389,10.193,4.927,0.958,0.362,63.573
2011-12,0.308,1.482,5.769,92.634,41.536,29.378,11.391,6.996,1.513,0.747,191.754
2012-13,0.75,3.179,50.878,13.245,9.268,6.497,6.079,2.875,0.462,0.657,93.890
2013-14,0.384,0.672,1.669,1.963,2.251,1.964,0.712,1.853,0.741,0.094,12.303
2014-15,0.315,0.915,2.14,38.354,44.515,17.669,8.233,3.137,0.976,0.098,116.352
2015-16,1.024,0.608,1.248,3.685,2.824,6.132,1.314,0.961,0.105,0,17.901
2016-17,0.247,0.657,7.424,21.083,4.181,8.891,4.398,1.78,0.228,0,48.889
2017-18,0.142,0.614,0.881,20.661,9.528,5.944,2.176,2.802,2.022,0.127,44.897
2018-19,0.858,0.757,16.665,118.11,53.909,,,,,,190.299
